,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
17,17,PHO,Žarko Čabarkapa\cabarza01,,3,150,1550,640,312,85,.427,.273,.733,10.3,4.3,2.1,0.6,1.1,.035,-3.9,-0.7
18,18,NOH,David West\westda01,Xavier,15,1034,29144,14034,6590,2273,.495,.265,.817,28.2,13.6,6.4,2.2,85.9,.141,1.7,27.6
19,19,UTA,Sasha Pavlović\pavloal01,,10,567,8888,2787,1000,517,.404,.346,.673,15.7,4.9,1.8,0.9,7.0,.038,-3.4,-3.1
20,20,BOS,Dahntay Jones\jonesda02,Duke,13,624,9799,3353,1082,529,.439,.329,.751,15.7,5.4,1.7,0.8,9.9,.048,-3.7,-4.1
21,21,ATL,Boris Diaw\diawbo01,,14,1064,28768,9139,4634,3684,.493,.336,.717,27.0,8.6,4.4,3.5,51.6,.086,0.1,15.5
22,22,NJN,Zoran Planinić\planizo01,,3,148,1584,561,198,165,.405,.289,.677,10.7,3.8,1.3,1.1,1.5,.046,-3.5,-0.6
23,23,POR,Travis Outlaw\outlatr01,,11,622,13026,5273,1974,514,.423,.337,.744,20.9,8.5,3.2,0.8,16.5,.061,-1.4,2.1
24,24,LAL,Brian Cook\cookbr01,Illinois,9,421,5649,2312,1115,252,.439,.382,.783,13.4,5.5,2.6,0.6,10.2,.086,-1.6,0.5
25,25,DET,Carlos Delfino\delfica01,,8,507,11580,4115,1815,887,.401,.365,.758,22.8,8.1,3.6,1.7,22.5,.093,0.5,7.2
26,26,MIN,Ndudi Ebi\ebind01,,2,19,86,40,19,4,.486,.000,.462,4.5,2.1,1.0,0.2,0.1,.051,-3.8,0.0
27,27,MEM,Kendrick Perkins\perkike01,,14,782,17162,4214,4532,813,.530,.000,.594,21.9,5.4,5.8,1.0,27.9,.078,-1.9,0.6
28,28,SAS,Leandro Barbosa\barbole01,,14,850,18386,9035,1720,1775,.459,.387,.821,21.6,10.6,2.0,2.1,37.4,.098,-0.2,8.6
29,29,DAL,Josh Howard\howarjo01,Wake Forest,10,507,15350,7270,2886,817,.448,.332,.770,30.3,14.3,5.7,1.6,38.0,.119,0.6,10.0
30,30,NYK,Maciej Lampe\lampema01,,3,64,632,215,142,22,.407,.250,.676,9.9,3.4,2.2,0.3,-0.2,-.014,-7.0,-0.8
31,31,CLE,Jason Kapono\kaponja01,UCLA,9,509,9068,3398,844,417,.442,.434,.835,17.8,6.7,1.7,0.8,10.3,.055,-2.6,-1.3
32,32,LAL,Luke Walton\waltolu01,Arizona,10,564,9685,2649,1588,1317,.429,.326,.715,17.2,4.7,2.8,2.3,13.5,.067,-1.0,2.5
33,33,MIA,Jerome Beasley\beaslje01,University of North Dakota,1,2,5,2,1,0,.333,,,2.5,1.0,0.5,0.0,0.0,-.117,-5.2,0.0
34,34,LAC,Sofoklis Schortsanitis\schorso01,,,,,,,,,,,,,,,,,,
35,35,MIL,Szymon Szewczyk\szewcsz01,,,,,,,,,,,,,,,,,,
36,36,CHI,Mario Austin\austima01,Mississippi State,,,,,,,,,,,,,,,,,
37,37,ATL,Travis Hansen\hansetr01,BYU,1,41,507,123,70,19,.354,.300,.815,12.4,3.0,1.7,0.5,0.2,.019,-6.2,-0.5
38,38,WAS,Steve Blake\blakest01,Maryland,13,870,20823,5662,1816,3446,.401,.383,.779,23.9,6.5,2.1,4.0,29.1,.067,-1.2,4.2
39,39,NYK,Slavko Vraneš\vranesl01,,1,1,3,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.371,-26.2,0.0
40,40,GSW,Derrick Zimmerman\zimmede01,Mississippi State,1,2,32,4,4,7,.667,,,16.0,2.0,2.0,3.5,0.0,.004,-10.4,-0.1
41,41,SEA,Willie Green\greenwi01,Detroit Mercy,12,731,14783,6059,1303,1018,.425,.346,.765,20.2,8.3,1.8,1.4,12.9,.042,-2.7,-2.7
42,42,ORL,Zaza Pachulia\pachuza01,,16,1098,22240,7414,6315,1433,.469,.000,.751,20.3,6.8,5.8,1.3,52.7,.114,-1.5,2.9
43,43,MIL,Keith Bogans\boganke01,Kentucky,11,671,14527,4257,1817,866,.394,.353,.716,21.6,6.3,2.7,1.3,20.4,.068,-1.5,1.9
44,44,HOU,Malick Badiane,,,,,,,,,,,,,,,,,,
45,45,CHI,Matt Bonner\bonnema01,Florida,12,792,13356,4632,2371,552,.464,.414,.780,16.9,5.8,3.0,0.7,38.5,.138,1.0,10.1
46,46,DEN,Sani Bečirovič\becirsa01,,,,,,,,,,,,,,,,,,
47,47,UTA,Mo Williams\willima01,Alabama,13,818,23872,10759,2264,3990,.434,.378,.871,29.2,13.2,2.8,4.9,40.0,.080,-0.3,10.0
48,48,NOH,James Lang\langja01,,1,11,55,11,11,2,.444,,.600,5.0,1.0,1.0,0.2,0.1,.047,-6.4,-0.1
49,49,IND,James Jones\jonesja02,Miami (FL),14,709,11098,3717,1276,366,.401,.401,.840,15.7,5.2,1.8,0.5,25.2,.109,-0.1,5.4
50,50,PHI,Paccelis Morlende\morlepa01,,,,,,,,,,,,,,,,,,
51,51,NJN,Kyle Korver\korveky01,Creighton,17,1232,31183,11953,3643,2114,.442,.429,.877,25.3,9.7,3.0,1.7,73.4,.113,0.6,20.7
52,52,TOR,Remon Van de Hare,,,,,,,,,,,,,,,,,,
53,53,CHI,Tommy Smith,Arizona State,,,,,,,,,,,,,,,,,
54,54,POR,Nedžad Sinanović\sinanne01,,,,,,,,,,,,,,,,,,
55,55,MIN,Rick Rickert,Minnesota,,,,,,,,,,,,,,,,,
56,56,BOS,Brandon Hunter\huntebr01,Ohio University,2,67,630,220,187,22,.476,.000,.488,9.4,3.3,2.8,0.3,0.7,.055,-3.7,-0.3
57,57,DAL,Xue Yuyang\yuyanxu01,,,,,,,,,,,,,,,,,,
58,58,DET,Andreas Glyniadakis\glynian01,,1,13,81,17,8,1,.471,,.500,6.2,1.3,0.6,0.1,-0.2,-.143,-14.0,-0.2
